Name,Tier,Keywords
Ferguson's Career Guidance Center,specialist,career exploration|career planning|careers|professions|industries|job duties|job hunting|resume|resume templates|cover letter|cover letter templates|skills and education paths|earnings|employment trends|school planning|occupational outlook handbook|vocational guidance|college majors|internships|job interview|career assessment|salary
Funk & Wagnalls New World Encyclopedia,general,encyclopedia|encyclopedia entries|general reference|science|history|geography|biography|the arts|quick summaries|background information
Gale eBooks,general,ebooks|electronic books|book length treatment|history|science|psychology|genetics|online books|reference books
Gale in Context: Biography,specialist,biography|biographies|famous people|historical figures|life of|international figures|multiple perspectives|primary sources|periodicals|who was|who is|notable people|inventors|scientists|authors|world leaders|activists
Gale in Context: Literature,specialist,literature|literary criticism|plot summaries|character analysis|themes|essential questions|author biographies|novels|poems|short stories|plays|graphic novels|literary periods|genre|full text works|public domain|mla apa chicago citations|bookshelf browse|shakespeare|the great gatsby|to kill a mockingbird|macbeth|poetry analysis|book report|symbolism|literary devices|canonical classics
Gale in Context: Opposing Viewpoints,specialist,opposing viewpoints|pro and con|debate topics|social issues|controversial issues|current issues|argue both sides|persuasive writing|debate preparation|immigration|fast fashion|artificial intelligence|reference articles|interactive maps|infographics|gun control|death penalty|climate change|censorship|vaping|social media and teens|abortion|capital punishment|drug legalization|free speech|animal testing|school uniforms|minimum wage
Gale in Context: US History,specialist,us history|american history|colonization to present|event overviews|topic overviews|biographies|primary sources|newspapers|periodicals|american revolution|civil war|reconstruction|great depression|world war 2|cold war|civil rights movement|jim crow|harlem renaissance|womens suffrage|vietnam war|new deal|9 11
Gale in Context: World History,specialist,world history|ancient world|world cultures|world civilizations|significant people events and topics|primary sources|curriculum aligned|french revolution|world war 1|world war 2|holocaust|cold war|imperialism|industrial revolution|renaissance|reformation|decolonization|genocide|ancient rome|ancient egypt
Gale Literary Index,specialist,literary index|author listings|title listings|index of literature|works by an author|oeuvre|gale literature products|charles scribners sons|st james press|twayne publishers|what is an index
Gale Literature: Twayne's Author Series,specialist,author study|critical introductions|lives and works of writers|literary movements|influences|thematic topics|chronological topics|major writers|literary schools|literary periods|criticism
Gale Power Search,general,search all gale databases|unified search|cross search|search everything
Gale Presents: Peterson's Test and Career Prep,specialist,test prep|standardized test prep|sat|act|college entry exams|practice tests|college planning|school search|scholarship search|scholarships|career assessment|job search|resume|cover letter|us citizenship test|vocational exams|law enforcement exam|cosmetology exam|foundational skills math and science|reading and writing review|asvab|ap exams|college applications|financial aid
GreenFile,specialist,environment|environmental science|human impact on the environment|global warming|green building|pollution|sustainable agriculture|renewable energy|recycling|sustainability|environmental law|environmental health|climate change|carbon emissions|conservation|endangered species|deforestation|water quality|solar power|wind power|fossil fuels
Health Reference Center,specialist,health|body systems|diseases and conditions|treatments|medical procedures|nutrition|mens health|womens health|childrens health|teen health|seniors|mental health|substance abuse|pubmed central|medlineplus|anxiety|depression|vaping|eating disorders|vaccines|diabetes|sleep|stress|addiction|puberty|sexual health
Health Source: Consumer Edition,specialist,consumer health|health magazines|nutrition|exercise|fitness|medical self care|drugs and alcohol|disease|diabetes|aging|womens health|childrens health|ailments and conditions|diet|weight|vitamins|first aid|allergies
Health Source: Nursing/Academic Edition,specialist,nursing|allied health|pediatric nursing|critical care|mental health|nursing management|medical law|medical terminology|peer reviewed medical studies|health sciences|sports medicine|scholarly medical journals
Issues & Controversies,specialist,hot topics|controversial issues|pro con format|debate topics|politics|government|business|society|education|popular culture|key facts and arguments|research papers|debate preparation|persuasive writing|subject clusters|source list|reliable outlets|gun control|death penalty|immigration|censorship|climate policy|vaping|social media|privacy|policing|healthcare policy
JSTOR,specialist,jstor|peer reviewed scholarly journals|academic monographs|literary journals|research reports|primary sources|humanities|social sciences|archives|scholarly articles|academic research|back issues|art history|philosophy|anthropology|sociology|political science|history scholarship
Learn360,general,streaming video|educational videos|video clips|interactives|images|audio files|worksheets|activities|multimedia|k-12 video|classroom video
Legal Information Reference Source,specialist,legal reference|law|legal forms|nolo|business law|financial planning|family law|property and real estate|rights and disputes|how to legal guides|consumer law|tenant rights|wills|contracts|small claims|employment law
"Library, Information Science & Technology Abstracts",specialist,library science|information science|librarianship|informatics|history of libraries|resource sharing|communication studies|library journals|cataloging|information literacy|archives and archiving
Literary Reference Plus,specialist,literature reference|poems|short stories|classic novels|plot summaries|critical analysis essays|literary journals|author biographies|study guides|lesson plans|all genres and time periods|curriculum standards|poetry|drama|fiction analysis|literary terms
Literary Reference Source eBooks,specialist,literary ebooks|literary criticism books|study guides|classic fiction|emma|dracula|frankenstein|book length literary criticism|gothic novels|classic literature
MAS Reference eBook Collection,general,reference ebooks|encyclopedias|biography|history|careers|language arts|literature|government|health|math|science|current events|social emotional health|longer treatments
MAS Ultra - School Edition,general,magazines|popular magazines|high school magazines|full text biographies|primary source documents|reference books|photos|maps|flags|history|science|health|journalism|periodicals|political science|civics|government|politics|popular science|news articles
Masterfile Elite,general,magazines|full text magazines|reference books|business|health|education|general science|multicultural issues|image collection|general adult audience
Masterfile Elite Reference eBook Collection,general,reference ebooks|biography|history|architecture|literature|cooking|health and wellness|science|self help|religion|current events|sports|travel
Medline,specialist,medline|biomedical literature|medical citations and abstracts|health journals|national library of medicine|mesh subject headings|clinical research|peer reviewed medical articles|pubmed|medical studies|clinical trials|disease research
Middle Search Plus,general,middle school magazines|middle school research|reference ebooks|primary source documents|videos|history|current events|science|sports
Middle Search Reference eBook Collection,general,middle school reference ebooks|social studies|math|history|language arts|technology|geography|culture|science
Military and Government Collection,specialist,military|armed forces|government|defense policy|military journals|policy makers|military branches|national security|veterans|army|navy|air force|marines|war and conflict|military history
Modern World History,specialist,modern world history|world history since 1450|subject entries|biographies|maps and graphs|primary sources|timelines|people places events and ideas|world war 1|world war 2|holocaust|cold war|french revolution|industrial revolution|imperialism|russian revolution|decolonization|globalization
Newspaper Source Plus,specialist,newspapers|newspaper articles|news|newswires|television transcripts|radio transcripts|washington post|philadelphia inquirer|international newspapers|cnn|cbs news|pbs|npr style transcripts|daily news updates|current events|breaking news|editorials|op ed
NoodleTools,specialist,citation|citations|cite a source|works cited|bibliography|references page|mla|apa|chicago style|in text citations|citation generator|notecards|outline|research management|note taking|source evaluation|group projects|how do i cite|citation machine alternative|annotated bibliography
NoveList,specialist,readers advisory|what should i read next|find your next read|book recommendations|similar books|read alikes|genre|story element|author alerts|book lists|popular books|book summaries|if you liked|reading for fun|series order
Open Dissertations,specialist,dissertations|theses|etd|graduate research|doctoral dissertations|institutional repository|niche topics|scholarly bibliography|original research
Points of View Ultimate,specialist,points of view|debate topics|point and counterpoint|controversial topics|global issues|political magazines|news transcripts|blog posts|primary sources|guide to critical analysis|develop an argument|digital literacy|over 750 debate topics|pro con|persuasive essay|argument essay|gun control|death penalty|censorship|immigration|climate policy
Pop Culture Universe,specialist,pop culture|popular culture|american culture|art|literature|clothing|fashion|food|film|music|sports|technology|travel|decades|movements and trends|turning points|1900s through 2010s|primary and secondary sources|icons idols ideas|the sixties|the jazz age|rock and roll|television history|advertising history
Primary Search,general,elementary school magazines|childrens magazines|easy to read encyclopedia|kids content|elementary research|child development|babysitting|education
Primary Search Reference eBook Collection,general,elementary reference ebooks|social studies|history|language arts|geography|culture|math|science|kids reference|child development|education
Professional Development Collection,specialist,professional development|educators|education researchers|professional librarians|education journals
Referencia Latina,specialist,spanish language|en espanol|recursos en espanol|enciclopedia en espanol|spanish reference|spanish dictionary|diccionario espanol ingles|latin american newspapers|informes medicos|revistas en espanol|spanish speakers|libros de referencia|investigacion en espanol|fuentes en espanol|bilingual research
Regional Business News,specialist,regional business|local business news|business newspapers|trade publications|newswires|business radio and television transcripts|localized economic data|united states and canada|deca|fbla|local economy|regional markets|industry news
Salem Press eBook Library,specialist,salem press|critical insights|reference volumes|literature|history|science|critical thinking|study skills|literary criticism books
Science Online,specialist,science reference|biology|chemistry|physics|earth science|space science|environmental science|marine science|forensics|weather|computers|math support|essays|diagrams|definitions|interactives|experiments|topic centers|elearning modules|science concepts|astronomy|geology|climate|scientific method|lab reports
Science Reference Ultimate,specialist,science magazines|science journals|applied sciences|biology|chemistry|computer science|earth sciences|engineering|environmental science|forensics|health and wellness|mathematics|paleontology|physics|scientists and innovators|space sciences|astronomy|science experiments|lesson plans|science images|dinosaurs|robotics|renewable energy|genetics|space exploration
Small Business Reference eBook Collection,specialist,small business ebooks|sustainable business|ethical business practices|business reference books|business planning|social entrepreneurship
Small Business Source,specialist,small business|entrepreneurship|starting a business|business plan|writing a business plan|marketing a business|managing employees|going green|business on the internet|selling a business|business videos|case studies|start up kit|nolo legal information|state specific business data|deca|fbla|franchising|funding a business|small business taxes
Teacher Reference Center,specialist,teacher resources|education magazines|peer reviewed education journals|assessment|best practices|continuing education|curriculum development|elementary education|higher education|instructional media|literacy standards|pedagogical research|school administration|teacher education
The African American Experience,specialist,african american experience|african american history|black history|primary and secondary sources|overview essays|biographies|slave narratives|speeches|court cases|civil rights movement|w e b du bois|barack obama|africa and the atlantic|chronological topic centers|scholarly commentary|slavery|emancipation|jim crow|segregation|harlem renaissance|great migration|black power|march on washington|brown v board
The Asian American Experience,specialist,asian american experience|asian american history|japanese american incarceration|war relocation authority|manzanar|tule lake|heart mountain|minidoka|poston|gila river|jerome|rohwer|topaz|east asian american history|south asian american|southeast asian american|native hawaiian|pacific islander|primary sources|letters|government documents|maps|cartoons|internment camps|chinese exclusion act|immigration history|model minority
The Atlantic,specialist,the atlantic|magazine|long form journalism|essays|politics|foreign affairs|business|technology|culture|analysis|american magazine|opinion writing|cultural criticism|current affairs
The Latino American Experience,specialist,latino american experience|latino history|hispanic history|mexican american|puerto rican|guatemalan|cuban|dominican|colombian|ecuadorian|spanish empire|voting access|political representation|immigration reform|bracero oral histories|speeches|songs|interviews|court cases|chicano movement|murals|poster art|teatro campesino|zoot suit|simon bolivar|rita hayworth|sonia sotomayor|cesar chavez|farm workers|immigration|bilingual education
The New York Times,specialist,new york times|nyt|newspaper|journalism|news|reporting|current events|investigative journalism|american press|breaking news|opinion|daily news|news analysis
Today's Science,specialist,science news|recent discoveries|scientific advances|biology|chemistry|environmental science|space|physics|technology|stem|conversations with scientists|science careers|topic centers|science videos|current science|new research|climate research|space missions|medical breakthroughs|artificial intelligence
TOPICsearch,general,current events|social issues|political issues|economic issues|scientific discoveries|classroom topics|biographies|book reviews|government information|public opinion polls|international newspapers
Women’s History in the United States,specialist,womens history|women in america|suffragists|womens suffrage|trailblazers|civil rights activists|political leaders|cultural icons|primary sources|letters|photographs|newspaper clippings|archival video|speeches|biographies|clioview|demographic data|population income health marital status|student inquiry activities|feminism|equal rights amendment|seneca falls|right to vote|women in the workforce|title ix|reproductive rights
World Book Online,general,world book|encyclopedia|encyclopedia articles|reading level|illustrations|videos|interactive maps|research help|activities|general reference|background information|starting point
World Geography and Culture,specialist,geography|world geography|countries|country profiles|cultures|geography concepts and skills|maps and flags|gazetteer|biographies|timelines|us states|world factbook alternative|landforms|climate zones|population|capital cities|borders
World Religions,specialist,world religions|religion|belief systems|buddhism|christianity|chinese religions|hinduism|islam|judaism|new religions|shinto|traditional religions|western esotericism|unbelief|faiths and beliefs|core beliefs|customs and practices|celebrations and holidays|sacred places|religious figures|comparative religion|sikhism|religious history|holidays and festivals|places of worship
